 1 1 191 206 219 176 182 196
 2 1 175 183 186 148 156 161
 3 1 166 165 161 138 146 150
 4 1 206 190 212 174 178 184
 5 1 179 187 171 182 185 210
 6 1 183 175 197 158 159 169
 7 1 174 168 187 167 160 178
 8 1 185 186 185 153 159 169
 9 1 182 189 201 173 177 183
10 1 191 192 208 168 169 187
11 1 162 163 168 135 141 145
12 1 162 162 170 142 147 151
13 2 277 267 322 205 231 255
14 2 235 216 271 161 183 187
15 2 150 150 165 140 140 156
16 2 400 404 379 214 223 216
17 2 183 165 187 140 146 163
18 2 162 215 184 144 156 165
19 2 163 179 172 170 189 192
20 2 163 159 159 143 150 148
21 2 237 233 238 207 225 228
22 2 205 177 217 205 208 230
23 2 178 190 211 144 155 177
24 2 164 180 187 139 151 163
