 1 2  0.554 -0.187  0.420  0.679  0.232 -0.014  0.407  2.110
 2 2  0.624 -0.095  0.252  0.545  0.157 -0.039  0.543  1.198
 3 2  2.820  0.101  0.055  0.399  0.156  0.000  0.598  0.664
 4 2  1.624  0.056  0.090  0.464  0.147  0.000  0.000  0.865
 5 2  1.190  0.073  0.387  0.623  0.460  0.038  0.237  1.650
 6 2  0.700 -0.035  0.092  0.573  0.057 -0.030  0.676  1.340
 7 2  0.870 -0.034  0.261  0.563  0.227  0.000  0.493  1.290
 8 2  1.087  0.026  0.304  0.465  0.330  0.114  0.254  0.869
 9 2  0.739 -0.016  0.062  0.516  0.046  0.077  0.463  1.066
10 2  0.705 -0.109  0.370  0.719  0.261  0.000  0.398  2.560
11 2  0.818 -0.028  0.156  0.532  0.127  0.000  0.728  1.143
12 2  0.538 -0.097  0.209  0.531  0.112 -0.032  0.582  1.133
13 2  1.051  0.012  0.232  0.509  0.244  0.000  0.361  1.039
14 2  1.011  0.002  0.203  0.391  0.206  0.000  0.594  0.641
15 2  1.290  0.043  0.147  0.329  0.190  0.183  0.703  0.490
16 2  4.000  0.087  0.029  0.344  0.116  0.046  0.000  0.525
17 2  2.326  0.105  0.079  0.429  0.185  0.083  0.444  0.753
18 2  0.895 -0.016  0.153  0.398  0.137 -0.084  0.564  0.662
19 2  1.856  0.142  0.166  0.313  0.308  0.222  0.000  0.455
20 2  1.328  0.031  0.093  0.573  0.124  0.000  0.717  1.342
21 2  1.822  0.097  0.118  0.747  0.215  0.000  0.608  2.949
22 2  2.578  0.224  0.142  0.403  0.366  0.000  0.000  0.675
23 2  1.164  0.058  0.350  0.441  0.408  0.000  0.000  0.790
24 2  1.305  0.034  0.112  0.356  0.147  0.016  0.412  0.554
25 2  0.565 -0.094  0.216  0.277  0.122  0.000  0.635  0.383
26 2  1.147  0.014  0.092  0.462  0.106 -0.034  0.727  0.859
27 2  1.298  0.049  0.165  0.434  0.215  0.197  0.676  0.768
28 2  0.394 -0.076  0.126  0.314  0.050  0.015  0.405  0.458
29 2  1.146  0.034  0.235  0.645  0.270 -0.103  0.450  1.816
30 2  0.589 -0.067  0.164  0.632  0.097  0.150  0.792  0.568
31 2  0.901 -0.015  0.155  0.361  0.140  0.010  0.767  0.566
32 2  1.035  0.005  0.154  0.524  0.159 -0.058  0.730  1.101
33 2  0.924 -0.007  0.098  0.593  0.091  0.044  0.766  1.459
34 2  2.134  0.085  0.075  0.602  0.161  0.063  0.569  1.512
35 1 19.050  0.429  0.024  0.024  0.453  0.071  0.437  0.024
36 1  1.670  0.124  0.186  0.363  0.310  0.100  0.197  0.571
37 1  5.831  0.378  0.078  0.107  0.457  0.057  0.000  0.120
38 1  4.690  0.112  0.030  0.153  0.143  0.596  0.762  0.181
39 1 21.664  0.288  0.014  0.397  0.302 -0.002  0.367  0.658
40 1  4.816  0.241  0.063  0.114  0.304  0.000  0.329  0.129
41 1  1.244  0.103  0.423  0.568  0.525  0.000  0.373  1.313
42 1  1.792  0.210  0.266  0.395  0.476  0.000  0.232  0.652
43 1  1.427  0.034  0.081  0.175  0.115  0.000  0.528  0.212
44 1  1.834  0.073  0.087  0.255  0.160  0.105  0.621  0.342
45 1  3.528  0.177  0.070  0.408  0.247  0.223  0.517  0.689
46 1  1.074  0.012  0.164  0.335  0.176 -0.155  0.672  0.503
47 1 33.420  0.151  0.005  0.133  0.155  0.118  0.619  0.154
48 1  5.759  0.358  0.075  0.097  0.434  0.295  0.000  0.107
49 1 20.000  0.148  0.000  0.116  0.148  0.129  0.503  0.132
50 1  3.722  0.190  0.070  0.493  0.260  0.019  0.603  0.972
51 1  2.941  0.264  0.136  0.276  0.401  0.175  0.322  0.382
52 1 20.000  0.329  0.000  0.241  0.330  0.000  0.000  0.318
53 1  3.854  0.115  0.040  0.294  0.156  0.130  0.705  0.415
54 1  1.138  0.022  0.163  0.292  0.185  0.000  0.544  0.412
55 1  4.098  0.165  0.053  0.317  0.219  0.000  0.455  0.465
56 1  5.297  0.128  0.030  0.256  0.158  0.000  0.592  0.343
57 1  4.227  0.113  0.035  0.175  0.148  0.000  0.761  0.213
58 1  1.105  0.017  0.166  0.698  0.184  0.000  0.602  2.314
59 1  1.639  0.049  0.077  0.333  0.126  0.119  0.817  0.498
60 1  1.633  0.054  0.085  0.525  0.138  0.031  0.455  1.104
61 1  2.027  0.166  0.161  0.273  0.327  0.061  0.468  0.375
62 1  5.925  0.077  0.016  0.825  0.093  0.012  0.392  4.724
63 1  2.089  0.292  0.268  0.493  0.561  0.137  0.260  0.973
64 1  1.841  0.062  0.074  0.198  0.136 -0.004  0.644  0.247
65 1  2.005  0.082  0.082  0.232  0.164  0.116  0.592  0.303
66 1  2.656  0.076  0.046  0.404  0.121 -0.033  0.743  0.677
67 1  2.558  0.279  0.179  0.277  0.457  0.111  0.000  0.382
68 1  2.040  0.154  0.148  0.543  0.302 -0.086  0.523  1.189
