1 0 0.6083064 2.649677 0.0702644 0.2616089 0.01993316 0.0265181 0.1155082 0.05281643 0.2295776 0.04196386 0.1084759
2 0 0.447315 13.69975 -0.000264889 0.05120578 0.0009557548 -.0000193353 -0.000592175 0.01309361 0.03265132 -0.0175704 0.05838877
3 0 0.74858   2.371408 0.07924713 0.2201622 0.03513627 0.03341775 0.1058633 0.08332245 0.315669 -0.00783704 0.04924673
4 0 0.7460108 4.967601 0.06021696 0.3140604 0.01325664 0.01212194 0.08071861 0.06585369 0.1501753 0.02047476 -0.00604425
6 0 0.849400  3.1887  -0.20471  0.2093265 0.03936793 -0.0250354 -0.0668542 0.09666442 0.3744785  0.14034  -0.31216
9 0 0.6414537 5.879408 0.03058859 0.1727432 0.008357825 0.004292112 0.03934045 0.04913906 0.1091018 -0.0263168 0.04152444
10 0 0.8119587 2.568754 -0.0982279 0.1450683 0.02225031 -0.0382395 -0.120976 0.05715556 0.3160905 -0.227103 -0.114096
14 0 1.042686 5.843227 -0.235108 0.144888 0.01596578 -0.0402359 -0.225483 0.09329167 0.1784435 -0.0596292 -0.243473
15 0 0.9358426 2.306314 -0.111065 0.2949466 0.04704998 -0.0545805 -0.13451 0.108512 0.4057742 -0.0622973 -0.192935
16 0 0.9003813 5.225195 0.1024108 0.4257519 0.02105791 0.01959943 0.1137416 0.1100317 0.1723153 -0.113901 0.0294236
17 0 0.5684711 1.462502 0.05234308 0.05277302 0.005888377 0.03579009 0.09207695 0.008611762 0.3886976 -0.0779621 0.1148521
18 0 0.854894  4.262699 0.006910982 0.2123654 0.009054853 0.001621269 0.008084022  0.03859811 0.2005523 -0.00956008 -0.0183575
19 0 1.348503  2.251307 0.03976782 0.1816568 0.0273391 0.01766433 0.02949035 0.0615487 0.5989866 -0.0671402 0.01370347
21 0 0.7929593 4.140902 -0.00409347 0.2119115 0.02194206 -0.000988546 -0.00516227 0.09085992 0.1914944 -0.0607024 -0.0722039
24 0 0.7587094 1.707139 -0.355901 0.01104768 0.004363729 -0.208478 -0.469088 0.00744949 0.4444334 -0.138892 -0.412888
30 0 1.212328  9.313931 0.1563309 0.1190681 0.009546219 0.01678464 0.128951 0.08891283 0.1301629 -0.064889 0.1259802
32 0 0.6063787 4.77427 -0.0657845 0.1083781 0.009171428 -0.013779 -0.108487 0.04378687 0.1270097 0.02703365 -0.0513941
33 0 0.5600721 4.316536 -0.0550236 0.1323998 0.00876157 -0.0130872 -0.100864 0.03781963 0.1297504 -0.00146133 -0.0522009
34 0 0.754821 3.689373 0.005936415 0.06094229 0.004326779 0.001609058 0.007864666 0.0159631 0.2045933 -0.0763073 0.09401266
39 0 0.9695825 1.625172 0.02619124 0.05420142 0.001068522 0.01611598 0.0270129 0.001736532 0.5966029 -0.00527063 0.02638495
40 0 0.4933823 1.402785 0.1061625 0.03201948 0.02959625 0.0756798 0.2151729 0.04151717 0.3517163 0.01040591 0.2327531
41 0 0.8412881 0.6347209 0.0006093185 0.2453766 0.1321639 0.0009599786 0.0007242686 0.0838872 1.325446 -0.281515 -0.03073
43 0 0.7549892 4.66329 -0.0307354 0.1761458 0.01993581 -0.00659093 -0.0407097 0.09296645 0.1619005 -0.0333187 -0.0903523
46 0 0.707608 2.810455 -0.105282 0.182246 0.02168519 -0.0454584 -0.18055 0.06094526 0.251777 -0.0624915 -0.230107
49 0 0.976329 2.653301 -0.133867 0.1757659 0.03331947 -0.0504531 -0.137113 0.08840661 0.3679676 -0.255234 -0.156433
50 0 0.9501798 3.429375 0.03275486 0.1233782 0.03262096 0.009551263 0.03447228 0.1118695 0.2770708 -0.0529059 0.01723856
51 0 0.7547272 2.786373 0.04335433 0.2095404 0.03366538 0.01555941 0.05744371 0.09380432 0.2708636 -0.0262812 0.04359917
56 0 0.8951535 1.306586 -0.0176272 0.2576145 0.06063268 -0.0138652 -0.020238 0.07922178 0.685109 0.06322353 -0.0501772
57 0 1.008096 4.141866 0.04113172 0.1144489 0.0335664 0.009930723 0.04080138 0.1390275 0.2433919 -0.152161 -0.00765191
