timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/17 10:39:52.712, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 59, 85 %, 63 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:39:57.713, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 83 %, 60 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:40:02.714, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 88 %, 65 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:40:07.715, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 90 %, 64 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:40:12.716, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 84 %, 59 %, 7948 MiB, 2744 MiB, 5204 MiB
2021/09/17 10:40:17.717, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 91 %, 65 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:40:22.718, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 83 %, 58 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:40:27.719, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 83 %, 61 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:40:32.720, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 92 %, 67 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:40:37.720, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 59, 83 %, 62 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:40:42.721, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 91 %, 67 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:40:47.723, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 83 %, 58 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:40:52.724, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 59, 84 %, 62 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:40:57.725, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 83 %, 59 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:41:02.726, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 69 %, 46 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:41:07.727, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 59, 74 %, 49 %, 7948 MiB, 2744 MiB, 5204 MiB
2021/09/17 10:41:12.727, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 59, 73 %, 47 %, 7948 MiB, 2744 MiB, 5204 MiB
2021/09/17 10:41:17.728, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 59, 71 %, 47 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:41:22.729, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 58, 72 %, 48 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:41:27.730, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 58, 69 %, 47 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:41:32.731, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 95 %, 68 %, 7948 MiB, 2745 MiB, 5203 MiB
2021/09/17 10:41:37.732, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 60, 95 %, 69 %, 7948 MiB, 2746 MiB, 5202 MiB
2021/09/17 10:41:42.733, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 93 %, 67 %, 7948 MiB, 2746 MiB, 5202 MiB
2021/09/17 10:41:47.734, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 94 %, 67 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:41:52.735, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 66 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:41:57.736, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 95 %, 68 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:42:02.737, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 66 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:42:07.738, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 94 %, 67 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:42:12.739, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 96 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:42:17.740, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 97 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:42:22.741, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 67 %, 7948 MiB, 2756 MiB, 5192 MiB
