0.30 1  5
0.34 1  5
0.20 2  5
0.24 2  5
0.24 2  5
0.28 3  5
0.20 3  5
0.24 3  5
0.02 4  5
0.02 4  5
0.06 4  5
0.00 5  5
0.00 5  5
0.00 5  5
0.37 1 12
0.36 1 12
0.30 2 12
0.31 2 12
0.30 2 12
0.30 3 12
0.30 3 12
0.30 3 12
0.14 4 12
0.14 4 12
0.14 4 12
0.14 5 12
0.15 5 12
0.15 5 12
0.23 1 18
0.23 1 18
0.28 2 18
0.27 2 18
0.25 2 18
0.27 3 18
0.25 3 18
0.25 3 18
0.06 4 18
0.10 4 18
0.10 4 18
0.02 5 18
0.02 5 18
0.02 5 18
0.36 1 25
0.36 1 25
0.24 2 25
0.27 2 25
0.31 2 25
0.26 3 25
0.26 3 25
0.28 3 25
0.14 4 25
0.11 4 25
0.11 4 25
0.04 5 25
0.07 5 25
0.05 5 25
