name,hourly_cost,vcpu,memory,storage,network,performance_per_vcpu,network_burst,ebs_burst
c6g.8xlarge,$1.08800,32,64 GiB,EBS Only,12 Gigabit,,,
c6g.12xlarge,$1.63200,48,96 GiB,EBS Only,20 Gigabit,,,
c6g.16xlarge,$2.17600,64,128 GiB,EBS Only,25 Gigabit,,,
c6g.metal,$2.17600,64,128 GiB,EBS Only,25 Gigabit,,,
c6gd.medium,$0.03840,1,2 GiB,1 x 59 NVMe SSD,Up to 10 Gigabit,,,
c6gd.large,$0.07680,2,4 GiB,1 x 118 NVMe SSD,Up to 10 Gigabit,,,
c6gd.xlarge,$0.15360,4,8 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit,,,
c6gd.2xlarge,$0.30720,8,16 GiB,1 x 475 NVMe SSD,Up to 10 Gigabit,,,
c6gd.4xlarge,$0.61440,16,32 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit,,,
c6gd.8xlarge,$1.22880,32,64 GiB,1 x 1900 NVMe SSD,12 Gigabit,,,
c6gd.12xlarge,$1.84320,48,96 GiB,2 x 1425 NVMe SSD,20 Gigabit,,,
c6gd.16xlarge,$2.45760,64,128 GiB,2 x 1900 NVMe SSD,25 Gigabit,,,
c6gd.metal,$2.45760,64,128 GiB,2 x 1900 NVMe SSD,25 Gigabit,,,
c6gn.medium,$0.04320,1,2 GiB,EBS Only,Up to 25 Gigabit,,,
c6gn.large,$0.08640,2,4 GiB,EBS Only,Up to 25 Gigabit,,,
c6gn.xlarge,$0.17280,4,8 GiB,EBS Only,Up to 25 Gigabit,,,
c6gn.2xlarge,$0.34560,8,16 GiB,EBS Only,Up to 25 Gigabit,,,
c6gn.4xlarge,$0.69120,16,32 GiB,EBS Only,25 Gigabit,,,
c6gn.8xlarge,$1.38240,32,64 GiB,EBS Only,50 Gigabit,,,
c6gn.12xlarge,$2.07360,48,96 GiB,EBS Only,75 Gigabit,,,
c6gn.16xlarge,$2.76480,64,128 GiB,EBS Only,100 Gigabit,,,
c6i.large,$0.08500,2,4 GiB,EBS Only,Up to 12500 Megabit,,,
c6i.xlarge,$0.17000,4,8 GiB,EBS Only,Up to 12500 Megabit,,,
c6i.2xlarge,$0.34000,8,16 GiB,EBS Only,Up to 12500 Megabit,,,
c6i.4xlarge,$0.68000,16,32 GiB,EBS Only,Up to 12500 Megabit,,,
c6i.8xlarge,$1.36000,32,64 GiB,EBS Only,12500 Megabit,,,
c6i.12xlarge,$2.04000,48,96 GiB,EBS Only,18750 Megabit,,,
c6i.16xlarge,$2.72000,64,128 GiB,EBS Only,25000 Megabit,,,
c6i.24xlarge,$4.08000,96,192 GiB,EBS Only,37500 Megabit,,,
c6i.32xlarge,$5.44000,128,256 GiB,EBS Only,50000 Megabit,,,
c6i.metal,$5.44000,128,256 GiB,EBS Only,50000 Megabit,,,
c6id.large,$0.10080,2,4 GiB,1 x 118 SSD,Up to 12500 Megabit,,,
c6id.xlarge,$0.20160,4,8 GiB,1 x 237 SSD,Up to 12500 Megabit,,,
c6id.2xlarge,$0.40320,8,16 GiB,1 x 474 SSD,Up to 12500 Megabit,,,
c6id.4xlarge,$0.80640,16,32 GiB,1 x 950 SSD,Up to 12500 Megabit,,,
c6id.8xlarge,$1.61280,32,64 GiB,1 x 1900 SSD,12500 Megabit,,,
c6id.12xlarge,$2.41920,48,96 GiB,2 x 1425 SSD,18750 Megabit,,,
c6id.16xlarge,$3.22560,64,128 GiB,2 x 1900 SSD,25000 Megabit,,,
c6id.24xlarge,$4.83840,96,192 GiB,4 x 1425 SSD,37500 Megabit,,,
c6id.32xlarge,$6.45120,128,256 GiB,4 x 1900 SSD,50000 Megabit,,,
c6id.metal,$6.45120,128,256 GiB,4 x 1900 SSD,50000 Megabit,,,
c6in.large,$0.11340,2,4 GiB,EBS Only,Up to 25000 Megabit,,,
c6in.xlarge,$0.22680,4,8 GiB,EBS Only,Up to 30000 Megabit,,,
c6in.2xlarge,$0.45360,8,16 GiB,EBS Only,Up to 40000 Megabit,,,
c6in.4xlarge,$0.90720,16,32 GiB,EBS Only,Up to 50000 Megabit,,,
c6in.8xlarge,$1.81440,32,64 GiB,EBS Only,50000 Megabit,,,
c6in.12xlarge,$2.72160,48,96 GiB,EBS Only,75000 Megabit,,,
c6in.16xlarge,$3.62880,64,128 GiB,EBS Only,100000 Megabit,,,
c6in.24xlarge,$5.44320,96,192 GiB,EBS Only,150000 Megabit,,,
c6in.32xlarge,$7.25760,128,256 GiB,EBS Only,200000 Megabit,,,
c6in.metal,$7.25760,128,256 GiB,EBS Only,200000 Megabit,,,
c5.large,$0.08500,2,4 GiB,EBS Only,Up to 10 Gigabit,,,
c5.xlarge,$0.17000,4,8 GiB,EBS Only,Up to 10 Gigabit,,,
c5.2xlarge,$0.34000,8,16 GiB,EBS Only,Up to 10 Gigabit,,,
c5.4xlarge,$0.68000,16,32 GiB,EBS Only,Up to 10 Gigabit,,,
c5.9xlarge,$1.53000,36,72 GiB,EBS Only,10 Gigabit,,,
c5.12xlarge,$2.04000,48,96 GiB,EBS Only,12 Gigabit,,,
